Time,Temperature
2022-10-19 05:41:00,12.9
2022-10-19 05:46:00,13.0
2022-10-19 05:52:00,13.3
2022-10-19 05:57:00,13.3
2022-10-19 06:02:00,12.9
2022-10-19 06:07:00,13.0
2022-10-19 06:12:00,13.3
2022-10-19 06:17:00,13.3
2022-10-19 06:22:00,13.0
2022-10-19 06:27:00,12.9
2022-10-19 06:32:00,13.3
2022-10-19 06:37:00,13.3
2022-10-19 06:42:00,13.0
2022-10-19 06:53:00,13.05
2022-10-19 06:57:00,13.4
2022-10-19 07:02:00,13.1
2022-10-19 07:07:00,12.9
2022-10-19 07:12:00,13.1
2022-10-19 07:16:00,13.4
2022-10-19 07:21:00,13.1
2022-10-19 07:27:00,12.9
2022-10-19 07:32:00,13.1
2022-10-19 07:36:00,13.4
2022-10-19 07:42:00,13.3
2022-10-19 07:47:00,12.9
2022-10-19 07:52:00,13.0
2022-10-19 07:57:00,13.3
2022-10-19 08:02:00,13.3
2022-10-19 08:06:00,13.0
2022-10-19 08:12:00,12.9
2022-10-19 08:16:00,13.3
2022-10-19 08:21:00,13.4
2022-10-19 08:27:00,13.1
2022-10-19 08:32:00,12.9
2022-10-19 08:37:00,13.2
2022-10-19 08:42:00,13.4
2022-10-19 08:47:00,13.1
2022-10-19 08:51:00,12.9
2022-10-19 08:57:00,13.2
2022-10-19 09:01:00,13.4
2022-10-19 09:07:00,13.3
2022-10-19 09:12:00,13.0
2022-10-19 09:16:00,13.2
2022-10-19 09:22:00,13.4
2022-10-19 09:27:00,13.3
2022-10-19 09:32:00,13.0
2022-10-19 09:37:00,13.1
2022-10-19 09:42:00,13.4
2022-10-19 09:46:00,13.4
2022-10-19 09:52:00,13.1
2022-10-19 09:57:00,13.1
2022-10-19 10:01:00,13.3
2022-10-19 10:07:00,13.6
2022-10-19 10:12:00,13.3
2022-10-19 10:23:00,13.2
2022-10-19 10:27:00,13.7
2022-10-19 10:31:00,13.4
2022-10-19 10:36:00,13.2
2022-10-19 10:42:00,13.3
2022-10-19 10:47:00,13.7
2022-10-19 10:51:00,13.6
2022-10-19 10:57:00,13.3
2022-10-19 11:02:00,13.3
2022-10-19 11:07:00,13.6
2022-10-19 11:12:00,13.6
